epoch,auc,categorical_accuracy,loss,precision,recall,val_auc,val_categorical_accuracy,val_loss,val_precision,val_recall
0,0.9421675205230713,0.785835325717926,0.5949967503547668,0.8563991189002991,0.6689257621765137,0.8837199211120605,0.6824644804000854,1.0341037511825562,0.8358209133148193,0.08846761286258698
1,0.9834043979644775,0.8963063359260559,0.29193928837776184,0.9045801758766174,0.8834293484687805,0.9400449395179749,0.7756714224815369,0.873225748538971,0.9537814855575562,0.35860979557037354
2,0.9883810877799988,0.9146052002906799,0.24360084533691406,0.9204819202423096,0.9061335325241089,0.9862257242202759,0.9415481686592102,0.5314943194389343,0.9684600830078125,0.8246445655822754
3,0.9936441779136658,0.9315486550331116,0.17785683274269104,0.9338786602020264,0.9284988045692444,0.9762550592422485,0.860979437828064,0.44563624262809753,0.8881239295005798,0.8151658773422241
4,0.9943485260009766,0.9386648535728455,0.16292725503444672,0.9407961964607239,0.9369705319404602,0.9826182126998901,0.9194312691688538,0.2998444736003876,0.9336650371551514,0.8894155025482178
5,0.9956892728805542,0.9498475193977356,0.14201542735099792,0.9519427418708801,0.9464588165283203,0.9916664361953735,0.9162717461585999,0.23203904926776886,0.9225806593894958,0.9036334753036499
6,0.9967489838600159,0.962724506855011,0.11316603422164917,0.9646258354187012,0.9610301852226257,0.985285758972168,0.9368088245391846,0.2411642223596573,0.938095211982727,0.9336493015289307
7,0.9971421360969543,0.9634022116661072,0.1050182655453682,0.963994562625885,0.9617078900337219,0.9860149621963501,0.9036334753036499,0.28915897011756897,0.9062002897262573,0.900473952293396
8,0.9983736276626587,0.9715350866317749,0.08698221296072006,0.9721939563751221,0.9715350866317749,0.979180097579956,0.9146919250488281,0.31605440378189087,0.9161392450332642,0.9146919250488281
9,0.9992706775665283,0.9749237298965454,0.0642256885766983,0.9762147665023804,0.9735682606697083,0.9904049038887024,0.9383886456489563,0.19624611735343933,0.9383886456489563,0.9383886456489563
10,0.9992465972900391,0.9840732216835022,0.04577162116765976,0.9847250580787659,0.9830566048622131,0.9889631867408752,0.9336493015289307,0.20377008616924286,0.9336493015289307,0.9336493015289307
11,0.9997345805168152,0.9894950985908508,0.0338822640478611,0.9894915223121643,0.9891562461853027,0.988665759563446,0.930489718914032,0.2319372594356537,0.930489718914032,0.930489718914032
12,0.9998403191566467,0.9915282726287842,0.027304524555802345,0.9922007322311401,0.9915282726287842,0.9868954420089722,0.9352290630340576,0.2369922250509262,0.9352290630340576,0.9352290630340576
13,0.9999287724494934,0.991867184638977,0.021860165521502495,0.991867184638977,0.991867184638977,0.9870386123657227,0.9320695400238037,0.24825124442577362,0.9320695400238037,0.9320695400238037
14,0.9999086856842041,0.991867184638977,0.02366042695939541,0.9925398230552673,0.991867184638977,0.9869940280914307,0.928909957408905,0.25199052691459656,0.928909957408905,0.928909957408905
