epoch,auc,categorical_accuracy,loss,precision,recall,val_auc,val_categorical_accuracy,val_loss,val_precision,val_recall
0,0.9351659417152405,0.775669276714325,0.6281997561454773,0.8503971695899963,0.6529989838600159,0.7233127951622009,0.46603477001190186,1.2916041612625122,1.0,0.007898894138634205
1,0.9829061627388,0.8959674835205078,0.3006637394428253,0.9058700799942017,0.8837682008743286,0.7991775870323181,0.6445497870445251,1.1250038146972656,1.0,0.1548183262348175
2,0.987507164478302,0.9132497310638428,0.24828322231769562,0.9232099652290344,0.9044391512870789,0.867696225643158,0.6808846592903137,0.942827582359314,0.9624060392379761,0.40442338585853577
3,0.9943851232528687,0.9386648535728455,0.16886377334594727,0.942524790763855,0.9335818290710449,0.9590812921524048,0.829383909702301,0.673678457736969,0.9677419066429138,0.6161137223243713
4,0.9945530891418457,0.934598445892334,0.16353946924209595,0.9365620613098145,0.9305320382118225,0.9831061959266663,0.9257503747940063,0.43765148520469666,0.9544658660888672,0.860979437828064
5,0.995812177658081,0.9491697549819946,0.13938383758068085,0.9516348838806152,0.9467976689338684,0.9884324073791504,0.9257503747940063,0.2619059681892395,0.9371980428695679,0.9194312691688538
6,0.9967005848884583,0.9610301852226257,0.1125607118010521,0.9623090028762817,0.9603524208068848,0.986458420753479,0.9352290630340576,0.24143017828464508,0.9391025900840759,0.9257503747940063
7,0.997154951095581,0.9589969515800476,0.10977676510810852,0.9609109163284302,0.9579803347587585,0.9893129467964172,0.9194312691688538,0.2341194599866867,0.9223454594612122,0.9194312691688538
8,0.9973909854888916,0.962724506855011,0.10255607217550278,0.96433424949646,0.96204674243927,0.987572968006134,0.9336493015289307,0.22730572521686554,0.9364069700241089,0.930489718914032
9,0.9990675449371338,0.9735682606697083,0.06933598965406418,0.9742023348808289,0.972551703453064,0.9867186546325684,0.9368088245391846,0.25368210673332214,0.9368088245391846,0.9368088245391846
10,0.9985158443450928,0.9769569635391235,0.06679979711771011,0.977951169013977,0.9769569635391235,0.9849924445152283,0.9368088245391846,0.26461297273635864,0.9365079402923584,0.9320695400238037
11,0.997779369354248,0.9766181111335754,0.0706704780459404,0.9772727489471436,0.9762791991233826,0.9882239699363708,0.9320695400238037,0.25276169180870056,0.9335442781448364,0.9320695400238037
12,0.9996687173843384,0.9833954572677612,0.04360990971326828,0.9833954572677612,0.9833954572677612,0.9879725575447083,0.9399684071540833,0.2593340575695038,0.9399684071540833,0.9399684071540833
13,0.9998527765274048,0.991867184638977,0.028722170740365982,0.99219810962677,0.9911894202232361,0.9864204525947571,0.9399684071540833,0.25262734293937683,0.9399684071540833,0.9399684071540833
