epoch,auc,categorical_accuracy,loss,precision,recall,val_auc,val_categorical_accuracy,val_loss,val_precision,val_recall
0,0.9441214203834534,0.7946459054946899,0.5727663040161133,0.8454145193099976,0.7153507471084595,0.7060258984565735,0.38704580068588257,1.2518061399459839,0.5866666436195374,0.20853079855442047
1,0.9809041023254395,0.8820738792419434,0.3178520202636719,0.8898100256919861,0.8729244470596313,0.981993556022644,0.8988941311836243,0.8582658767700195,1.0,0.1516587734222412
2,0.9848060011863708,0.9013893604278564,0.27790209650993347,0.9063464999198914,0.8952897191047668,0.9817913770675659,0.8988941311836243,0.7518602013587952,0.9820788502693176,0.4328593909740448
3,0.9883844256401062,0.9078278541564941,0.2458028644323349,0.9131181240081787,0.9010505080223083,0.9827629923820496,0.8909952640533447,0.6054171919822693,0.9678800702095032,0.7140600085258484
4,0.9903099536895752,0.9230769276618958,0.2198283076286316,0.9287915229797363,0.9193493723869324,0.9797029495239258,0.902053713798523,0.4086044728755951,0.9305555820465088,0.8467614650726318
5,0.9910243153572083,0.9213826060295105,0.20990478992462158,0.9268376231193542,0.9186716079711914,0.9723596572875977,0.8483412265777588,0.42661741375923157,0.8634064197540283,0.8088467717170715
6,0.9926148056983948,0.926465630531311,0.19303368031978607,0.9319890737533569,0.9240935444831848,0.989966869354248,0.9257503747940063,0.23917341232299805,0.9294871687889099,0.9162717461585999
7,0.9928401112556458,0.9268044829368591,0.18894974887371063,0.9323721528053284,0.9203659892082214,0.9846643209457397,0.8925750255584717,0.29273420572280884,0.9035369753837585,0.887835681438446
8,0.991556704044342,0.926465630531311,0.1988808959722519,0.9291552901268005,0.9244323968887329,0.9843432903289795,0.8988941311836243,0.2830466032028198,0.9056000113487244,0.8941548466682434
9,0.9944356679916382,0.9423924088478088,0.15792271494865417,0.9474761486053467,0.9413757920265198,0.9841934442520142,0.9036334753036499,0.25733324885368347,0.906050980091095,0.8988941311836243
10,0.9955262541770935,0.9498475193977356,0.14272618293762207,0.9513274431228638,0.9471365809440613,0.9853768348693848,0.9241706132888794,0.23479190468788147,0.9255150556564331,0.9225908517837524
11,0.9975817203521729,0.9596747159957886,0.10990824550390244,0.9628872871398926,0.9583191871643066,0.9861072897911072,0.930489718914032,0.22784797847270966,0.930489718914032,0.930489718914032
12,0.9972509741783142,0.9562860131263733,0.10949632525444031,0.9571574330329895,0.9539139270782471,0.9887235760688782,0.9257503747940063,0.22979764640331268,0.9284578561782837,0.9225908517837524
13,0.9982714653015137,0.9634022116661072,0.09057774394750595,0.9646258354187012,0.9610301852226257,0.9827114939689636,0.9178515076637268,0.2834126353263855,0.925159215927124,0.9178515076637268
14,0.997890055179596,0.9647576808929443,0.09623053669929504,0.9657045602798462,0.9637411236763,0.9893949031829834,0.9352290630340576,0.21747919917106628,0.9352290630340576,0.9352290630340576
15,0.9987832903862,0.9674686789512634,0.08109301328659058,0.9697381854057312,0.9664520621299744,0.9841679930686951,0.928909957408905,0.27870815992355347,0.928684651851654,0.9257503747940063
16,0.9989555478096008,0.9708573222160339,0.07338859885931015,0.9711766839027405,0.9705184698104858,0.9890729784965515,0.9257503747940063,0.24169503152370453,0.925632894039154,0.9241706132888794
17,0.9986215233802795,0.972551703453064,0.07373878359794617,0.9735413789749146,0.972551703453064,0.9852736592292786,0.9273301959037781,0.27009111642837524,0.9273301959037781,0.9273301959037781
18,0.9988991022109985,0.9759403467178345,0.06747488677501678,0.9759076833724976,0.9745848774909973,0.987338125705719,0.9320695400238037,0.2488626092672348,0.934920608997345,0.930489718914032
19,0.9991142153739929,0.9779735803604126,0.061181534081697464,0.9782977104187012,0.9776347279548645,0.9874183535575867,0.9320695400238037,0.24391384422779083,0.9319620132446289,0.930489718914032
