index,precision,recall,f1-score,support
cataract,0.9675324675324676,0.9551282051282052,0.9612903225806452,156.0
diabetic_retinopathy,1.0,1.0,1.0,165.0
glaucoma,0.9148936170212766,0.8543046357615894,0.8835616438356164,151.0
normal,0.8670520231213873,0.9316770186335404,0.8982035928143712,161.0
accuracy,0.9368088467614534,0.9368088467614534,0.9368088467614534,0.9368088467614534
macro avg,0.9373695269187828,0.9352774648808337,0.9357638898076583,633.0
weighted avg,0.9378821118922924,0.9368088467614534,0.9367928546364496,633.0
