index,precision,recall,f1-score,support
cataract,0.9798657718120806,0.9358974358974359,0.9573770491803278,156.0
diabetic_retinopathy,1.0,0.9939393939393939,0.9969604863221885,165.0
glaucoma,0.8742138364779874,0.9205298013245033,0.896774193548387,151.0
normal,0.9006211180124224,0.9006211180124224,0.9006211180124224,161.0
accuracy,0.9383886255924171,0.9383886255924171,0.9383886255924171,0.9383886255924171
macro avg,0.9386751815756227,0.9377469372934388,0.9379332117658314,633.0
weighted avg,0.9397556867470153,0.9383886255924171,0.9388028485641369,633.0
