index,precision,recall,f1-score,support
cataract,0.9741935483870968,0.967948718,0.9710610932475884,156
diabetic_retinopathy,1,1,1,165
glaucoma,0.9389312977099237,0.8145695364238411,0.8723404255319149,151
normal,0.8516483516483516,0.9627329192546584,0.9037900874635568,161
accuracy,0.9383886255924171,0.9383886255924171,0.9383886255924171,0.9383886255924171
macro avg,0.941193299,0.9363127934068044,0.936797902,633
weighted avg,0.9413399749099055,0.9383886255924171,0.937944927,633
