index,precision,recall,f1-score,support
cataract,0.9736842105263158,0.9487179487179487,0.961038961038961,156.0
diabetic_retinopathy,0.9879518072289156,0.9939393939393939,0.9909365558912386,165.0
glaucoma,0.9402985074626866,0.8344370860927153,0.8842105263157894,151.0
normal,0.8453038674033149,0.9503105590062112,0.8947368421052632,161.0
accuracy,0.933649289099526,0.933649289099526,0.933649289099526,0.933649289099526
macro avg,0.9368095981553082,0.9318512469390672,0.9327307213378131,633.0
weighted avg,0.936786385961573,0.933649289099526,0.9336414386994691,633.0
